,IPO_DATE,DELIST_DATE
000875.SZ,2002-09-26,1899-12-30
000876.SZ,1998-03-11,1899-12-30
000877.SZ,1999-01-07,1899-12-30
000878.SZ,1998-06-02,1899-12-30
000880.SZ,1998-04-02,1899-12-30
000881.SZ,1998-09-02,1899-12-30
000882.SZ,1998-06-16,1899-12-30
000883.SZ,1998-05-19,1899-12-30
000885.SZ,1999-03-19,1899-12-30
000886.SZ,1998-01-23,1899-12-30
000887.SZ,1998-12-03,1899-12-30
000888.SZ,1997-10-21,1899-12-30
000889.SZ,1997-12-18,1899-12-30
000890.SZ,1999-01-19,1899-12-30
000892.SZ,1999-01-15,1899-12-30
000893.SZ,1998-12-24,1899-12-30
000895.SZ,1998-12-10,1899-12-30
000897.SZ,1999-04-22,1899-12-30
000898.SZ,1997-12-25,1899-12-30
000899.SZ,1997-11-26,1899-12-30
000900.SZ,1999-01-28,1899-12-30
000901.SZ,1999-04-01,1899-12-30
000902.SZ,1999-04-08,1899-12-30
000903.SZ,1999-04-15,1899-12-30
000905.SZ,1999-04-29,1899-12-30
000906.SZ,1999-07-07,1899-12-30
000908.SZ,1999-02-03,1899-12-30
000909.SZ,1999-05-07,1899-12-30
000910.SZ,1999-06-30,1899-12-30
000911.SZ,1999-05-27,1899-12-30
000912.SZ,1999-06-03,1899-12-30
000913.SZ,1999-05-14,1899-12-30
000915.SZ,1999-06-09,1899-12-30
000916.SZ,1999-09-27,2017-12-25
000917.SZ,1999-03-25,1899-12-30
000918.SZ,1999-07-20,1899-12-30
000919.SZ,1999-11-18,1899-12-30
000920.SZ,1999-06-16,1899-12-30
000921.SZ,1999-07-13,1899-12-30
000922.SZ,1999-06-18,1899-12-30
000923.SZ,1999-07-14,1899-12-30
000925.SZ,1999-06-11,1899-12-30
000926.SZ,1999-06-18,1899-12-30
000927.SZ,1999-07-27,1899-12-30
000928.SZ,1999-03-12,1899-12-30
000929.SZ,1999-06-23,1899-12-30
000930.SZ,1999-07-12,1899-12-30
000931.SZ,1999-07-12,1899-12-30
000932.SZ,1999-08-03,1899-12-30
000933.SZ,1999-08-31,1899-12-30
000935.SZ,1999-08-24,1899-12-30
000936.SZ,1999-08-10,1899-12-30
000937.SZ,1999-09-09,1899-12-30
000938.SZ,1999-11-04,1899-12-30
000939.SZ,1999-09-23,2020-12-17
000948.SZ,1999-10-14,1899-12-30
000949.SZ,1999-10-21,1899-12-30
000950.SZ,1999-09-16,1899-12-30
000951.SZ,1999-11-25,1899-12-30
000952.SZ,1999-11-12,1899-12-30
000953.SZ,1999-12-02,1899-12-30
000955.SZ,1999-12-09,1899-12-30
000957.SZ,2000-01-13,1899-12-30
000958.SZ,1999-12-23,1899-12-30
000959.SZ,1999-12-16,1899-12-30
000960.SZ,2000-02-21,1899-12-30
000961.SZ,2000-03-01,1899-12-30
000962.SZ,2000-01-20,1899-12-30
000963.SZ,2000-01-27,1899-12-30
000965.SZ,2000-04-06,1899-12-30
000966.SZ,2000-03-16,1899-12-30
000967.SZ,2000-03-30,1899-12-30
000968.SZ,2000-06-22,1899-12-30
000969.SZ,2000-05-29,1899-12-30
000970.SZ,2000-04-20,1899-12-30
000971.SZ,2000-04-27,1899-12-30
000972.SZ,2000-09-26,1899-12-30
000973.SZ,2000-05-25,1899-12-30
000975.SZ,2000-06-08,1899-12-30
000976.SZ,2000-06-01,1899-12-30
000977.SZ,2000-06-08,1899-12-30
000978.SZ,2000-05-18,1899-12-30
000979.SZ,2000-06-16,2018-12-28
000980.SZ,2000-06-16,1899-12-30
000981.SZ,2000-06-22,1899-12-30
000982.SZ,2000-07-06,1899-12-30
000983.SZ,2000-07-26,1899-12-30
000985.SZ,2000-07-26,1899-12-30
000987.SZ,2000-07-18,1899-12-30
000988.SZ,2000-06-08,1899-12-30
000989.SZ,2000-06-28,1899-12-30
000990.SZ,2000-07-06,1899-12-30
000993.SZ,2000-07-31,1899-12-30
000995.SZ,2000-08-07,1899-12-30
000996.SZ,2000-07-18,1899-12-30
000997.SZ,2000-08-07,1899-12-30
000998.SZ,2000-12-11,1899-12-30
000999.SZ,2000-03-09,1899-12-30
